date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Oct%202024%2018:57:24%20GMT	http://wiseup.com/robots.txt		(from )
15:57:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Oct%202024%2018:57:24%20GMT	http://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant&utm_source=google&utm_medium=cpc&utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch&utm_content=wol-np-branding_sudeste-wup&utm_term=wol_resp2-ant&gad_source=1&gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB	C:/Meus%20Sites/teste/wiseup.com/pt/online/indexe7c0.html	(from )
15:57:25	169932/169932	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202024%2018:57:25%20GMT	https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB	C:/Meus%20Sites/teste/wiseup.com/pt/online/index1040.html	(from http://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant&utm_source=google&utm_medium=cpc&utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch&utm_content=wol-np-branding_sudeste-wup&utm_term=wol_resp2-ant&gad_source=1&gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:25	5322/5322	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202024%2018:57:25%20GMT	https://wiseup.com/robots.txt		(from http://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant&utm_source=google&utm_medium=cpc&utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch&utm_content=wol-np-branding_sudeste-wup&utm_term=wol_resp2-ant&gad_source=1&gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:26	1713/1713	---M--	200	added ('OK')	image/png	etag:%2270bb23d036d50ba897fe45ac83477a4a%22	https://wiseup.com/assets/images/wiseup-share-thumb.png	C:/Meus%20Sites/teste/wiseup.com/assets/images/wiseup-share-thumb.png	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:26	19763/19763	---M--	200	added ('OK')	image/png	etag:%22672c7e32885a53aa8f49c7aced1a4141%22	https://wiseup.com/assets/images/online/bg.png	C:/Meus%20Sites/teste/wiseup.com/assets/images/online/bg.png	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:26	169932/169932	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202024%2018:57:26%20GMT	https://wiseup.com/pt/online/	C:/Meus%20Sites/teste/wiseup.com/pt/online/index.html	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:26	6009/6009	---M--	200	added ('OK')	image/png	etag:%22895fab6e24c4a907b91d3709f3b8fef1%22	https://wiseup.com/assets/images/online/bg-blackfriday.png	C:/Meus%20Sites/teste/wiseup.com/assets/images/online/bg-blackfriday.png	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:27	5291/5291	---M--	200	added ('OK')	image/png	etag:%2237ec41a3f9746fb27649bd62fe48ac64%22	https://wiseup.com/assets/images/online/bg-blackfriday-mob.png	C:/Meus%20Sites/teste/wiseup.com/assets/images/online/bg-blackfriday-mob.png	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
15:57:27	284584/284584	---M--	200	added ('OK')	text/javascript	etag:%22e817d4662ea197ba%22	https://cdn.ampproject.org/v0.js	C:/Meus%20Sites/teste/cdn.ampproject.org/v0.js	(from https://wiseup.com/pt/online/?source=google-search-br-6-reg-sudeste-lead-wup-resp2-ant%26utm_source=google%26utm_medium=cpc%26utm_campaign=wol-ongoing-venda-wol-br-rsd-np-sch%26utm_content=wol-np-branding_sudeste-wup%26utm_term=wol_resp2-ant%26gad_source=1%26gclid=Cj0KCQjwveK4BhD4ARIsAKy6pMKU2jmfBUefgEsGNP0AKDYJSgyKPtYiujbNtwRwyGbsqGBtEzdQ78MaAnJsEALw_wcB)
